Brand,Model,Price ,EnginePower,Maximum torque [Nm],Type of brakes,Drive type,Battery capacity [kWh],Range[miles],Wheelbase [cm],Length [cm],Width [cm],Height [cm],Maximum load capacity [kg],Tire Size [inch],Maximum speed [kph],Boot capacity (VDA) [l],Acceleration,Maximum power charging,Energy consumption 
Mercedes-Benz,EQC,334700,408,760,disc (front + rear),4WD,414,287.3,476.2,188.4,162.4,2495,520,19,180,500,4.6,110,19.8
Mercedes-Benz,EQV (long),339480,204,362,disc (front + rear),2WD ,356,320,514,192.8,191,2710,940,17,160,1030,12.1,110,27.12
Peugeot,e-2008,149400,136,260,disc (front + rear),2WD ,320,260.5,430,177,153,1548,482,16,196,434,8.3,100,15.3
Peugeot,e-208,124900,136,260,disc (front + rear),2WD ,340,254,405.5,174.5,143,1455,346,16,150,311,8.1,100,12
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,150,,,,,
,,,,,,,,,,,,,,130,,,,,
,,,,,,,,,,,,,,180,,,,,
,,,,,,,,,,,,,,160,,,,,
,,,,,,,,,,,,,,150,,,,,
,,,,,,,,,,,,,,150,,,,,
